id_type,price,address,number_of_part,img_link
vente,90000000,"Malikounda, Sénégal",6,https://images.coinafrique.com/thumb_5055989_uploaded_image1_1732260496.jpg
Vente,98000000,"Sicap foire, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5055828_uploaded_image1_1732237883.jpg
Location,800000,"Dieuppeul-Derklé, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5008060_uploaded_image1_1729700701.jpg
Vente,349622698,"Lac rose, Sénégal",3,https://images.coinafrique.com/thumb_5054887_uploaded_image2_1732197012.jpeg
vente,135000000,"Ngaparou, Sénégal",4,https://images.coinafrique.com/thumb_5054816_uploaded_image1_1732194255.jpg
vente,215000000,"Ngaparou, Sénégal",4,https://images.coinafrique.com/thumb_5054809_uploaded_image1_1732193940.jpg
Vente,130000000,"Diamalaye 1, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_5007425_uploaded_image1_1729678285.jpg
Vente,85000000,"Mbao, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_5053653_uploaded_image1_1732124114.jpg
Vente,450000001,"Point E, Dakar, Sénégal",8,https://images.coinafrique.com/thumb_5053570_uploaded_image1_1732120755.jpg
Vente,85000000,"Rufisque, Sénégal",7,https://images.coinafrique.com/thumb_5053364_uploaded_image1_1732112974.jpg
Location,1500000,"Yoff, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5009105_uploaded_image1_1729766963.jpg
Vente,220000000,"Ngaparou, Sénégal",4,https://images.coinafrique.com/thumb_5052186_uploaded_image1_1732048019.jpg
location,1000000,"Mamelles, Dakar, Sénégal",3,https://images.coinafrique.com/thumb_5051625_uploaded_image1_1732023898.jpg
vente,40000000,"Almadies 2, Dakar, Sénégal",4,https://images.coinafrique.com/thumb_5051591_uploaded_image1_1732022519.jpg
Vente,150000000,"Dakar, Sénégal",4,https://images.coinafrique.com/thumb_5051373_uploaded_image1_1732016109.jpg
Location,2000000,"Ngor, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5050136_uploaded_image1_1731949593.jpg
Location,750000,"Sipres, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5006099_uploaded_image1_1729604356.jpg
vente,38000000,"Mbao, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5049506_uploaded_image1_1731930563.jpg
vente,55000000,"Mbour, Sénégal",4,https://images.coinafrique.com/thumb_5048227_uploaded_image1_1731848523.jpg
Vente,6000000,"Touba, Sénégal",3,https://images.coinafrique.com/thumb_5048198_uploaded_image1_1731846996.jpg
vente,45000000,"Mbao, Dakar, Sénégal",3,https://images.coinafrique.com/thumb_5047833_uploaded_image1_1731892929.jpg
Location,36000,"Saly, Sénégal",3,https://images.coinafrique.com/thumb_5047390_uploaded_image1_1731778217.jpg
Vente,110000000,"Mbour, Sénégal",3,https://images.coinafrique.com/thumb_5000497_uploaded_image1_1729258929.jpg
Vente,349622698,"Dakar Plateau, Dakar, Sénégal",13,https://images.coinafrique.com/thumb_5002737_uploaded_image1_1729426966.jpg
Vente,349622698,"Colobane, Dakar, Sénégal",1,https://images.coinafrique.com/thumb_5002728_uploaded_image1_1729426256.jpg
Vente,137000000,"Ngaparou, Sénégal",4,https://images.coinafrique.com/thumb_4999597_uploaded_image1_1729206953.jpg
Vente,250000000,"Grand Dakar, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5000186_uploaded_image1_1729246289.jpg
Vente,65000000,"Thies, Sénégal",7,https://images.coinafrique.com/thumb_4999377_uploaded_image1_1729195425.jpg
Vente,55000000,"Ngaparou, Sénégal",5,https://images.coinafrique.com/thumb_4999628_uploaded_image1_1729208620.jpg
Location,3000000,"Almadies, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_4999624_uploaded_image1_1729209608.jpg
Location,600000,"Saly, Sénégal",5,https://images.coinafrique.com/thumb_5045754_uploaded_image1_1731684591.jpg
Vente,349622698,"Keur Massar, Sénégal",4,https://images.coinafrique.com/thumb_5045737_uploaded_image2_1731684279.jpeg
Vente,275000000,"Yoff, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5001725_uploaded_image1_1729342145.jpg
vente,38000000,"Rufisque, Sénégal",4,https://images.coinafrique.com/thumb_5045190_uploaded_image1_1731665713.jpg
Location,349622698,"Dakar Plateau, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_5000457_uploaded_image1_1729257391.jpg
Vente,70000000,"Diamniadio, Sénégal",1,https://images.coinafrique.com/thumb_5000385_uploaded_image1_1729253803.03.jpeg
vente,80000000,"Guediawaye, Dakar, Sénégal",8,https://images.coinafrique.com/thumb_5043484_uploaded_image1_1731582550.jpg
Location,350000,"Mbao, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4997683_uploaded_image1_1729116442.jpg
Location,1500000,"Dakar Plateau, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_4995349_uploaded_image1_1729012024.jpg
Location,1500000,"Mermoz-Sacré Coeur, Dakar, Sénégal",6,https://images.coinafrique.com/thumb_4995934_uploaded_image1_1729037042.jpg
vente,30000000,"Mbour, Sénégal",4,https://images.coinafrique.com/thumb_5042999_uploaded_image1_1731548016.jpg
Vente,160000000,"Sicap Liberté, Dakar, Sénégal",7,https://images.coinafrique.com/thumb_4999472_uploaded_image1_1729200134.jpg
Location,900000,"Mermoz-Sacré Coeur, Dakar, Sénégal",5,https://images.coinafrique.com/thumb_5042611_uploaded_image1_1731529041.jpg
