web-scraper-order,web-scraper-start-url,terrains_links,terrains_links-href,area,price,address,images_links
1732755206-921,https://sn.coinafrique.com/categorie/terrains?page=109,Vente terrains 150m2 à Thiès,https://sn.coinafrique.com/annonce/terrains/vente-terrains-150m2-a-thies-2849798,150 m2,1 500 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2849798_uploaded_image1_1608764680.jpg""); width: 546px;"
1732755211-922,https://sn.coinafrique.com/categorie/terrains?page=109,Vente Terrains 150 m² - Ouest Foire,https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m-ouest-foire-2849874,150,35 000 000 CFA,"Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2849874_uploaded_image1_1608769401.jpg""); width: 421px;"
1732755216-923,https://sn.coinafrique.com/categorie/terrains?page=109,Terrains 150 m²  - Tivaoune Peulh,https://sn.coinafrique.com/annonce/terrains/terrains-150-m-tivaoune-peulh-2850186,150,4 500 000 CFA,"Niaga, Sénégal","background-image: url(""https://images.coinafrique.com/2850186_uploaded_image1_1608801389.jpg""); width: 421px;"
1732755220-924,https://sn.coinafrique.com/categorie/terrains?page=109,Terrains 1000 m2 - Yoff,https://sn.coinafrique.com/annonce/terrains/terrains-1000-m2-yoff-2850590,1000,800 000 000 CFA,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2850590_uploaded_image1_1608812955.jpg""); width: 407px;"
1732755240-925,https://sn.coinafrique.com/categorie/terrains?page=108,Terrain 150 m² - Ndoukhoura,https://sn.coinafrique.com/annonce/terrains/terrain-150-m-ndoukhoura-2850599,150 m2,2 700 000 CFA,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2850599_uploaded_image1_1608813180.jpg""); width: 369px;"
1732755245-926,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 200m² - Almadies,https://sn.coinafrique.com/annonce/terrains/vente-terrain-200m-almadies-2851539,200 m2,65 000 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2851539_uploaded_image1_1608859806.jpg""); width: 666px;"
1732755250-927,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 200 m² - Thiès,https://sn.coinafrique.com/annonce/terrains/vente-terrain-200-m-thies-2852001,200,5 000 000 CFA,"Thies, Sénégal","background-image: url(""https://images.coinafrique.com/2852001_uploaded_image1_1608903477.jpg""); width: 544px;"
1732755254-928,https://sn.coinafrique.com/categorie/terrains?page=108,"Vente terrain 3,5 ha - Diamniadio",https://sn.coinafrique.com/annonce/terrains/vente-terrain-3-5-ha-diamniadio-2852531,35000 m2,Prix sur demande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2852531_uploaded_image1_1608936509.jpg""); width: 548px;"
1732755258-929,https://sn.coinafrique.com/categorie/terrains?page=108,Vente terrains 328 m² - Mariste,https://sn.coinafrique.com/annonce/terrains/vente-terrains-328-m-mariste-2852555,328,80 000 000 CFA,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2852555_uploaded_image1_1608937978.jpg""); width: 467px;"
1732755262-930,https://sn.coinafrique.com/categorie/terrains?page=108,Vente Terrain 314 m² - Maristes,https://sn.coinafrique.com/annonce/terrains/vente-terrain-314-m-maristes-2852564,314,Prix sur demande,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2852564_uploaded_image1_1608938522.jpg""); width: 467px;"
