area,adress,price,img_link
150,"Rufisque, Sénégal",3000000,https://images.coinafrique.com/thumb_5009274_uploaded_image1_1729772014.jpg
200,"Thies, Sénégal",2000000,https://images.coinafrique.com/thumb_5009222_uploaded_image1_1729770481.jpg
150,"Guediawaye, Dakar, Sénégal",,https://images.coinafrique.com/thumb_5007691_uploaded_image1_1729686382.jpg
250,"Ouakam, Dakar, Sénégal",160000000,https://images.coinafrique.com/thumb_4974544_uploaded_image1_1727953339.jpg
150 ,"Keur Massar, Sénégal",14000000,https://images.coinafrique.com/thumb_5006658_uploaded_image1_1729625396.jpg
750,"Mamelles, Dakar, Sénégal",750000000,https://images.coinafrique.com/thumb_4964313_uploaded_image1_1727427251.jpg
300,"Thies, Sénégal",4500000,https://images.coinafrique.com/thumb_4960204_uploaded_image1_1727205114.jpg
300,"Mbour, Sénégal",6500000,https://images.coinafrique.com/thumb_4960196_uploaded_image1_1727204825.jpg
150,"Rufisque, Sénégal",3000000,https://images.coinafrique.com/thumb_4960187_uploaded_image1_1727204442.jpg
150,"Mbour, Sénégal",3000000,https://images.coinafrique.com/thumb_4960176_uploaded_image1_1727204161.jpg
225,"Thies, Sénégal",2500000,https://images.coinafrique.com/thumb_4960169_uploaded_image1_1727203980.jpg
225,"Thies, Sénégal",2500000,https://images.coinafrique.com/thumb_4960154_uploaded_image1_1727203713.jpg
150,"Rufisque, Sénégal",30000000,https://images.coinafrique.com/thumb_4958187_uploaded_image1_1727110592.jpg
150,"Dakar, Sénégal",2500000,https://images.coinafrique.com/thumb_5003929_uploaded_image2_1729506681.jpeg
150,"Lac rose, Sénégal",2000000,https://images.coinafrique.com/thumb_5003918_uploaded_image1_1729506273.jpg
300,"Thies, Sénégal",2800000,https://images.coinafrique.com/thumb_4958435_uploaded_image1_1727121578.jpg
300,"Touba, Sénégal",500000,https://images.coinafrique.com/thumb_4958429_uploaded_image1_1727121230.jpg
300,"Thies, Sénégal",6500000,https://images.coinafrique.com/thumb_4958427_uploaded_image1_1727121044.jpg
150,"Thies, Sénégal",2400000,https://images.coinafrique.com/thumb_5002740_uploaded_image1_1729427139.jpg
150,"Dakar, Sénégal",2000000,https://images.coinafrique.com/thumb_5002731_uploaded_image1_1729426612.jpg
150,"Rufisque, Sénégal",18000000,https://images.coinafrique.com/thumb_5001699_uploaded_image1_1729340441.jpg
180,"Thies, Sénégal",4500000,https://images.coinafrique.com/thumb_5001445_uploaded_image1_1729329204.jpg
180,"Thies, Sénégal",4500000,https://images.coinafrique.com/thumb_5001440_uploaded_image1_1729329067.jpg
160,"Rufisque, Sénégal",12000000,https://images.coinafrique.com/thumb_5001250_uploaded_image2_1729317172.jpeg
150,"Toubab Dialao, Sénégal",3500000,https://images.coinafrique.com/thumb_4956188_uploaded_image1_1727013110.jpg
166 ,"Dakar, Sénégal",7000000,https://images.coinafrique.com/thumb_4963889_uploaded_image1_1727385178.jpg
150,"Almadies 2, Dakar, Sénégal",7000000,https://images.coinafrique.com/thumb_4963880_uploaded_image1_1727384725.jpg
1000 ,"Saly, Sénégal",50000000,https://images.coinafrique.com/thumb_4999275_uploaded_image1_1729190533.jpg
180,"Thies, Sénégal",4500000,https://images.coinafrique.com/thumb_4998658_uploaded_image1_1729167634.jpg
160,"Rufisque, Sénégal",16000000,https://images.coinafrique.com/thumb_4998554_uploaded_image1_1729163138.jpg
300,"Mbour, Sénégal",6000000,https://images.coinafrique.com/thumb_4998498_uploaded_image1_1729160697.jpg
150,"Almadies, Dakar, Sénégal",,https://images.coinafrique.com/thumb_4997895_uploaded_image1_1729125775.jpg
300 ,"Thies, Sénégal",25000000,https://images.coinafrique.com/thumb_4997452_uploaded_image1_1729104926.jpg
300,"Mbour, Sénégal",7000000,https://images.coinafrique.com/thumb_4996649_uploaded_image1_1729079465.jpg
500 ,"Almadies, Dakar, Sénégal",600000000,https://images.coinafrique.com/thumb_4995461_uploaded_image1_1729015214.jpg
280 ,"Thies, Sénégal",3000000,https://images.coinafrique.com/thumb_4993895_uploaded_image1_1728940217.jpg
150,"Rufisque, Sénégal",15000000,https://images.coinafrique.com/thumb_4948764_uploaded_image1_1726592167.jpg
150,"Rufisque, Sénégal",7000000,https://images.coinafrique.com/thumb_4948659_uploaded_image1_1726588539.jpg
150,"Rufisque, Sénégal",15000000,https://images.coinafrique.com/thumb_4948624_uploaded_image1_1726587633.jpg
3000 ,"Mbour, Sénégal",5000000,https://images.coinafrique.com/thumb_4975166_uploaded_image1_1727968840.jpg
150,"Lac rose, Sénégal",8000000,https://images.coinafrique.com/thumb_4949429_uploaded_image1_1726625517.jpg
300,"Keur Massar, Sénégal",28000000,https://images.coinafrique.com/thumb_4949294_uploaded_image1_1726613401.jpg
400 ,"Mbour, Sénégal",10000000,https://images.coinafrique.com/thumb_4990422_uploaded_image1_1728751658.jpg
150 ,"Mermoz-Sacré Coeur, Dakar, Sénégal",32000000,https://images.coinafrique.com/thumb_4990044_uploaded_image1_1728736131.jpg
305,"Mermoz-Sacré Coeur, Dakar, Sénégal",170000000,https://images.coinafrique.com/thumb_4989892_uploaded_image1_1728729459.jpg
194 ,"Toubab Dialao, Sénégal",3500000,https://images.coinafrique.com/thumb_4989403_uploaded_image1_1728681563.jpg
300,"Dakar, Sénégal",7000000,https://images.coinafrique.com/thumb_4988542_uploaded_image1_1728650230.jpg
150,"Diamniadio, Sénégal",13500000,https://images.coinafrique.com/thumb_4988365_uploaded_image1_1728644207.jpg
150 ,"Almadies, Dakar, Sénégal",,https://images.coinafrique.com/thumb_4987173_uploaded_image2_1728574173.jpeg
150,"Niaga, Sénégal",9000000,https://images.coinafrique.com/thumb_4986501_uploaded_image1_1728553715.jpg
150 ,"Dakar, Sénégal",12000000,https://images.coinafrique.com/thumb_4985457_uploaded_image1_1728500853.jpg
300,"Thies, Sénégal",1200000,https://images.coinafrique.com/thumb_4941393_uploaded_image1_1726160713.jpg
600,"Mbour, Sénégal",40000000,https://images.coinafrique.com/thumb_4941381_uploaded_image1_1726160250.jpg
140,"Mbour, Sénégal",17000000,https://images.coinafrique.com/thumb_4941363_uploaded_image1_1726159594.jpg
8000,"Lac rose, Sénégal",25000,https://images.coinafrique.com/thumb_4941368_uploaded_image1_1726159794.jpg
200,"Mariste, Dakar, Sénégal",100000000,https://images.coinafrique.com/thumb_4937301_uploaded_image1_1725978932.jpg
300,"Rufisque, Sénégal",70000000,https://images.coinafrique.com/thumb_4937316_uploaded_image1_1725979455.jpg
150,"Mbour, Sénégal",8500000,https://images.coinafrique.com/thumb_4941257_uploaded_image1_1726155528.jpg
150,"Parcelle Assainies, Dakar, Sénégal",35000000,https://images.coinafrique.com/thumb_4941217_uploaded_image1_1726154279.jpg
600,"Mbour, Sénégal",8000000,https://images.coinafrique.com/thumb_4941170_uploaded_image1_1726153347.jpg
300,"Malikounda, Sénégal",5000000,https://images.coinafrique.com/thumb_4936985_uploaded_image1_1725968835.jpg
575,"Yoff, Dakar, Sénégal",431250000,https://images.coinafrique.com/thumb_4940887_uploaded_image1_1726144989.jpg
246,"Mamelles, Dakar, Sénégal",140000000,https://images.coinafrique.com/thumb_4974170_uploaded_image1_1727941506.jpg
1500,"Rufisque, Sénégal",300000000,https://images.coinafrique.com/thumb_4984058_uploaded_image1_1728443206.jpg
160,"Rufisque, Sénégal",9500000,https://images.coinafrique.com/thumb_4949328_uploaded_image1_1726614966.jpg
150,"Rufisque, Sénégal",8000000,https://images.coinafrique.com/thumb_4935568_uploaded_image1_1725894585.jpg
150 ,"Ouest Foire, Dakar, Sénégal",90000000,https://images.coinafrique.com/thumb_4983407_uploaded_image1_1728407539.jpg
170 ,"Almadies 2, Dakar, Sénégal",18000000,https://images.coinafrique.com/thumb_4983323_uploaded_image1_1728404600.jpg
150,"Rufisque, Sénégal",14000000,https://images.coinafrique.com/thumb_4935305_uploaded_image1_1725886000.jpg
1000,"Rufisque, Sénégal",80000000,https://images.coinafrique.com/thumb_4935310_uploaded_image1_1725886236.jpg
150,"Rufisque, Sénégal",4000000,https://images.coinafrique.com/thumb_4935289_uploaded_image1_1725885349.jpg
300,"Rufisque, Sénégal",8000000,https://images.coinafrique.com/thumb_4935282_uploaded_image1_1725885087.jpg
225,"Rufisque, Sénégal",23000000,https://images.coinafrique.com/thumb_4935131_uploaded_image1_1725879995.jpg
180,"Thies, Sénégal",4500000,https://images.coinafrique.com/thumb_4982567_uploaded_image1_1728381936.jpg
40000,"Diamniadio, Sénégal",50000,https://images.coinafrique.com/thumb_4981104_uploaded_image1_1728304550.jpg
160,"Ouest Foire, Dakar, Sénégal",75000000,https://images.coinafrique.com/thumb_4980956_uploaded_image1_1728300267.jpg
150,"Keur Massar, Sénégal",25000000,https://images.coinafrique.com/thumb_4980817_uploaded_image1_1728296528.jpg
321,"Biscuiterie, Dakar, Sénégal",300000000,https://images.coinafrique.com/thumb_4980452_uploaded_image1_1728259672.jpg
150,"Rufisque, Sénégal",2500000,https://images.coinafrique.com/thumb_4979315_uploaded_image1_1728173773.jpg
289 ,"Almadies, Dakar, Sénégal",250000000,https://images.coinafrique.com/thumb_4979044_uploaded_image1_1728156404.jpg
300,"Mbour, Sénégal",10000000,https://images.coinafrique.com/thumb_4978581_uploaded_image1_1728132392.jpg
150,"Ndiass, Sénégal",1500000,https://images.coinafrique.com/thumb_4957321_uploaded_image1_1727085849.jpg
157 ,"Dakar, Sénégal",11000000,https://images.coinafrique.com/thumb_4977399_uploaded_image1_1728059028.jpg
180 ,"Ouest Foire, Dakar, Sénégal",70000000,https://images.coinafrique.com/thumb_4977365_uploaded_image1_1728057548.jpg
500,"Saly, Sénégal",22000000,https://images.coinafrique.com/thumb_4928142_uploaded_image1_1725489003.jpg
600,"Malikounda, Sénégal",20000000,https://images.coinafrique.com/thumb_4928153_uploaded_image1_1725489342.jpg
300,"Malikounda, Sénégal",5000000,https://images.coinafrique.com/thumb_4928122_uploaded_image1_1725488285.jpg
300,"Malikounda, Sénégal",8500000,https://images.coinafrique.com/thumb_4928130_uploaded_image1_1725488552.jpg
400,"Thies, Sénégal",10000000,https://images.coinafrique.com/thumb_4935285_uploaded_image1_1725885254.jpg
1350,"Toubab Dialao, Sénégal",75000000,https://images.coinafrique.com/thumb_4959414_uploaded_image1_1727181022.jpg
300,"Thies, Sénégal",3000000,https://images.coinafrique.com/thumb_4972853_uploaded_image1_1727880505.jpg
150 ,"Almadies 2, Dakar, Sénégal",58000000,https://images.coinafrique.com/thumb_4971221_uploaded_image1_1727808011.jpg
1250 ,"Mbour, Sénégal",17000000,https://images.coinafrique.com/thumb_4970967_uploaded_image1_1727801112.jpg
150,"Keur Massar, Sénégal",2500000,https://images.coinafrique.com/thumb_4970697_uploaded_image1_1727792359.jpg
150 ,"Diamniadio, Sénégal",4000000,https://images.coinafrique.com/thumb_4926912_uploaded_image1_1725448573.jpg
225 ,"Ndiass, Sénégal",2000000,https://images.coinafrique.com/thumb_4926918_uploaded_image1_1725448758.jpg
150,"Dakar, Sénégal",8000000,https://images.coinafrique.com/thumb_4929909_uploaded_image1_1725561286.jpg
150,"Almadies 2, Dakar, Sénégal",35000000,https://images.coinafrique.com/thumb_4921573_uploaded_image1_1725206384.jpg
168,"Rufisque, Sénégal",20000000,https://images.coinafrique.com/thumb_4921558_uploaded_image1_1725205747.jpg
150,"Rufisque, Sénégal",5000000,https://images.coinafrique.com/thumb_4921420_uploaded_image1_1725199221.jpg
